"ID","LIMIT_BAL","SEX_male","EDUCATION_gradSch","EDUCATION_university","EDUCATION_highSch","MARRIAGE_married","MARRIAGE_single","AGE","PAY_0_unknown0","PAY_0_unknown2","PAY_0_payDuly","PAY_0_value","PAY_2_unknown0","PAY_2_unknown2","PAY_2_payDuly","PAY_2_value","PAY_3_unknown0","PAY_3_unknown2","PAY_3_payDuly","PAY_3_value","PAY_4_unknown0","PAY_4_unknown2","PAY_4_payDuly","PAY_4_value","PAY_5_unknown0","PAY_5_unknown2","PAY_5_payDuly","PAY_5_value","PAY_6_unknown0","PAY_6_unknown2","PAY_6_payDuly","PAY_6_value","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","DEFAULT"
61,500000,0,0,0,1,1,0,28,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,22848,23638,18878,14937,13827,15571,1516,1300,1000,1000,2000,2000,1
65,130000,0,0,1,0,1,0,51,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,99,0,0,0,2353,0,0,0,0,2353,0,0,0
67,10000,1,0,1,0,1,0,56,0,0,0,2,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,2097,4193,3978,4062,4196,4326,2300,0,150,200,200,160,1
70,20000,1,0,0,0,0,1,22,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,18565,17204,17285,18085,11205,5982,0,1200,1000,500,1000,0,0
74,290000,0,1,0,0,0,1,37,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3155,0,2359,0,0,3155,0,2359,0,0,0
78,300000,0,1,0,0,1,0,45,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,291,291,291,291,291,291,291,291,291,291,291,291,0
80,240000,0,0,1,0,0,1,44,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,360000,0,1,0,0,0,1,26,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,23411,27796,30400,33100,180000,196,4796,3400,3100,146900,196,2963,0
83,60000,1,0,0,1,0,1,30,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,26324,27471,28108,21993,19899,19771,1576,1213,648,768,1140,0,1
84,400000,0,0,1,0,1,0,44,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,131595,139060,126819,104430,104990,94058,10700,3,3050,3000,3200,2800,0
85,50000,0,0,0,1,0,1,49,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,48909,47863,21489,20414,19342,19482,1676,1302,700,699,849,826,0
88,160000,0,0,1,0,0,1,32,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,3826,4751,6604,8604,7072,766,1147,2000,2000,0,766,2303,0
89,130000,0,1,0,0,1,0,35,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,81313,117866,17740,1330,7095,1190,40000,5000,1330,7095,1190,2090,0
90,20000,1,0,0,1,0,1,44,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,8583,8303,9651,10488,12314,11970,0,1651,1000,2000,0,1500,0
92,280000,0,1,0,0,0,1,39,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,7524,0,3968,3868,0,0,0,3968,0,0,0,0,0
97,360000,1,1,0,0,1,0,43,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,3967,8322,3394,6451,26370,9956,8339,3394,12902,27000,0,68978,0
111,330000,0,1,0,0,1,0,31,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,105879,108431,105594,105896,106491,107289,9260,0,3593,4100,15794,0,0
117,240000,1,1,0,0,0,1,28,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,326,326,326,5676,476,326,326,326,5676,476,326,526,0
118,80000,1,0,1,0,0,1,26,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,14029,15493,16630,17055,17629,18186,2000,1700,1000,1000,1000,1000,1
120,240000,0,0,1,0,0,1,38,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,50254,51445,53015,52479,1307,1203,2000,3000,3000,1307,1203,563,0
131,30000,0,1,0,0,0,1,23,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,4000,5645,3508,-27,13744,5906,5645,3508,27,13771,5911,3024,0
133,420000,1,0,1,0,1,0,34,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,253454,247743,229049,220951,210606,188108,9744,9553,7603,7830,7253,11326,0
138,210000,0,0,1,0,1,0,33,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,7166,7997,8792,9189,4404,5708,1500,1500,1000,500,2000,546,0
139,50000,0,0,0,1,1,0,51,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,752,300,5880,0,0,0,300,5880,0,0,0,0,1
140,50000,1,1,0,0,0,1,24,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,50801,50143,49586,19430,19375,18995,2360,1700,1000,900,870,2130,0
141,240000,1,1,0,0,0,1,47,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
142,180000,1,0,1,0,0,1,28,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1832,0,832,332,416,416,0,416,332,500,3500,832,0
145,20000,1,1,0,0,0,1,29,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1199,15586,344,2340,6702,339,15586,344,2340,4702,339,330,0
148,200000,1,1,0,0,0,1,34,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,197236,176192,93069,135668,132233,59875,8000,5000,55500,5000,5000,8500,0
150,260000,0,1,0,0,1,0,60,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,-1100,-1100,21400,0,969,869,0,22500,0,969,1000,0,0
154,280000,0,0,1,0,1,0,56,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,208775,182350,132257,101783,177145,169311,8042,6700,5137,100000,7000,6321,0
155,30000,0,0,0,1,0,1,26,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,9014,10406,11427,11935,13084,14206,1700,1500,1000,1500,1500,1500,0
157,200000,0,1,0,0,0,1,37,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,105420,102870,89643,90938,92505,94031,4000,3250,3250,3500,3560,5000,0
158,200000,0,0,0,1,0,1,30,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,196031,196143,189524,167163,146975,122324,7300,7108,7680,6200,5000,4500,0
159,210000,1,0,0,1,1,0,45,0,0,0,2,0,0,0,3,0,0,0,4,0,0,0,4,0,0,0,5,0,0,0,6,115785,122904,129847,137277,145533,154105,10478,10478,11078,11078,11678,10478,1
164,250000,0,1,0,0,1,0,34,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,141223,156858,151841,152803,155997,160220,17994,0,5469,5656,6811,3920,0
165,60000,0,0,1,0,1,0,46,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,21148,23803,24908,26034,26655,27756,3000,1500,1500,1000,1500,1500,0
166,110000,0,1,0,0,0,1,27,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,101640,104795,104855,74737,76058,77254,5500,3900,3000,2900,3000,2800,0
170,50000,0,0,1,0,0,1,22,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,28040,29092,29366,27737,28318,28806,1510,1442,982,1017,1277,567,0
174,50000,0,1,0,0,0,1,24,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-709,-709,-709,-2898,-3272,-3272,0,0,0,0,0,0,1
176,130000,1,0,0,1,1,0,56,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,3,64617,65978,67282,68557,72796,71345,3000,3000,3000,5500,0,0,1
179,20000,0,0,1,0,0,1,22,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,16001,12622,13221,13130,14034,14906,1212,1201,500,1500,1500,1000,0
180,80000,0,0,1,0,1,0,29,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,77883,81811,80250,61467,10662,11486,5800,1000,600,400,1000,0,0
182,80000,0,0,0,1,0,1,35,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,49608,12412,14873,17364,17770,17460,12500,6500,3000,2000,3000,2000,0
186,100000,0,0,1,0,1,0,38,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,14483,13961,15323,16268,15868,16448,0,1600,1500,0,1000,1500,1
187,360000,0,1,0,0,0,1,32,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,2616,57077,5287,68445,13881,16240,57087,5295,68454,13889,16250,38313,0
189,130000,0,0,1,0,1,0,34,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,5396,10270,13576,13864,14636,5396,5000,3500,501,1000,2000,0
192,60000,0,1,0,0,0,1,27,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,19625,20347,21669,23005,22499,22873,1342,1664,2000,0,900,846,1
193,180000,0,1,0,0,0,1,29,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,11386,199,0,0,17227,17042,199,0,0,17227,341,5114,0
199,500000,0,1,0,0,1,0,34,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,412,138,2299,1251,1206,1151,138,2299,1251,1206,1151,15816,0
205,360000,0,0,1,0,1,0,48,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,226430,231878,234192,190211,173557,146511,9100,7300,5800,5600,5600,4100,0
207,100000,1,1,0,0,1,0,47,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,390,1473,390,390,390,0,1473,390,390,390,0,2380,0
208,210000,0,0,1,0,1,0,41,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,3088,1586,343,3763,877,0,1586,343,3763,877,0,419,1
209,80000,0,0,1,0,0,1,24,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,81625,81554,79599,49552,49509,49568,3200,3000,2038,2000,1800,1800,1
211,220000,1,1,0,0,0,1,24,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,105607,108917,111520,8303,0,85632,5000,5050,8303,0,85632,0,0
212,210000,0,1,0,0,1,0,38,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,250,123,789,1222,0,250,0,789,1222,9616,1
215,470000,1,0,1,0,0,1,27,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,296573,303320,307843,479978,305145,309959,13000,11001,0,10484,10838,10367,0
217,240000,0,0,1,0,1,0,36,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-946,-946,-946,-946,-946,-946,0,0,0,0,0,0,1
221,360000,0,1,0,0,1,0,40,0,0,0,2,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,105167,115468,112157,114690,117845,120238,12000,0,5900,5000,4500,4700,1
223,300000,0,0,1,0,0,1,35,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,291619,297268,205629,215827,208464,212508,12019,9006,17000,12000,9557,15000,0
224,320000,0,0,1,0,0,1,33,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,91653,94037,108597,65913,43805,33263,10042,18832,2117,2076,5045,3754,0
228,20000,1,0,1,0,1,0,37,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,16455,16511,18902,18768,18650,19175,1609,3000,663,676,834,782,0
235,60000,0,0,1,0,1,0,33,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,58203,36367,20934,20694,20175,19421,1506,1298,1000,721,811,599,0
240,140000,0,0,1,0,0,0,41,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,19346,21708,22940,19068,16409,16383,3000,2000,2198,1000,3000,2399,1
247,250000,0,0,1,0,1,0,75,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,52874,1631,1536,1010,5572,794,1631,1536,1010,5572,794,1184,0
248,100000,0,0,1,0,0,1,27,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,37767,34457,30036,30337,30997,32904,1788,1799,1100,1150,2423,0,0
253,140000,0,0,1,0,0,1,26,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,101551,105246,104781,105334,107699,106828,5366,5087,3605,3894,3785,3304,1
254,160000,0,1,0,0,0,1,28,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,70243,47779,28052,7222,99669,84426,7042,2000,1000,99669,12600,10000,0
258,160000,0,0,1,0,1,0,33,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,8015,2453,9624,52572,7333,2210,2453,9880,52572,1546,2210,0,0
261,510000,0,1,0,0,0,1,29,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,78331,99414,107686,103776,87265,36739,40010,20094,5000,5001,25365,65000,0
263,160000,0,1,0,0,1,0,38,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,4473,4664,5969,18941,16578,12652,4664,5969,18941,0,12652,1916,0
264,230000,0,1,0,0,0,1,37,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2283,50815,0,0,299,338,51315,0,0,299,338,0,0
265,80000,0,1,0,0,0,1,37,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,10115,249,5986,188,1644,16872,258,5995,188,1644,16872,4000,0
268,130000,0,0,0,1,0,1,49,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,89003,91362,72197,49654,28065,27500,4100,3095,1630,561,600,0,1
283,180000,0,0,0,1,0,1,30,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,163935,153152,147032,122196,103692,70204,7722,6091,3563,3605,3000,3211,0
285,230000,0,0,0,1,1,0,32,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,195126,88743,92195,94814,98182,98457,5000,5000,5000,5000,4000,5000,0
286,210000,0,1,0,0,1,0,46,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,110346,41986,21874,20076,16171,586,41986,21874,20076,16171,586,19777,0
289,100000,0,0,1,0,0,1,25,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,70896,71678,70125,69856,69718,51365,3472,2092,2000,2127,1960,1559,1
293,30000,1,0,1,0,1,0,43,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,1700,2610,1914,2182,2000,2566,1100,0,300,0,600,0,0
294,10000,1,0,1,0,0,1,27,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,7015,10227,9560,9901,9963,10182,3507,0,500,370,393,700,1
297,120000,0,0,1,0,1,0,29,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1686,657,2179,1423,0,1820,657,2319,1423,0,1820,2496,0
299,280000,0,1,0,0,1,0,36,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,58983,60788,63225,29701,30172,30771,2755,3463,1300,1100,1100,2000,0
301,100000,1,0,1,0,0,1,37,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,99209,98222,67185,66926,66796,64513,3490,2332,2314,2365,2497,2305,0
312,180000,0,0,1,0,1,0,34,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,143301,146333,147042,127814,130331,132845,7000,5000,5000,4900,5000,5100,0
313,20000,1,1,0,0,0,1,40,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,10934,13738,16567,10411,13057,14340,3000,3100,0,3000,1500,0,0
317,110000,0,0,1,0,0,1,36,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,47819,48947,50330,50894,52175,53652,2200,2500,2000,2100,2500,2200,0
321,110000,1,0,1,0,0,1,29,0,0,0,1,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,58362,56598,51908,48647,47862,47969,2500,0,2000,2000,1854,2000,1
322,340000,0,1,0,0,0,1,27,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,172180,180140,166281,155628,145645,103263,21105,5461,5000,5849,2732,50000,0
323,50000,1,0,1,0,0,1,24,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1399,2441,3865,7476,8384,8085,1070,1500,3666,2477,1306,1000,0
325,360000,0,0,1,0,0,1,32,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,93029,94054,91834,95631,100123,100738,10000,7000,10000,10000,10000,10000,0
327,220000,0,0,1,0,1,0,41,0,0,1,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,0,650,650,325,950,475,325,325,0,950,0,325,325,1
336,190000,0,1,0,0,0,1,28,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,143464,146943,151905,153538,156664,160361,5795,7408,5645,5753,6370,5865,0
337,260000,0,1,0,0,0,1,30,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,156882,160246,159988,158114,158762,159108,10000,8000,6000,7000,7000,6000,0
339,50000,0,0,1,0,1,0,31,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,46512,47716,49675,30929,30078,29170,1974,4406,1061,1073,1046,1047,1
340,120000,0,1,0,0,0,1,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,882,6531,6313,1100,1330,830,6900,5037,1100,1330,3800,2037,0
347,100000,0,0,1,0,0,1,26,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1370,4192,4159,3542,1980,3980,4210,4159,1000,1080,2000,1525,0
348,50000,0,0,1,0,0,1,29,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,47081,49316,50409,45545,39963,41145,3000,2000,2000,2000,2000,2000,1
351,90000,1,1,0,0,0,1,26,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,39128,20473,1940,1940,0,23101,1541,4200,0,0,23101,3000,0
355,50000,1,0,0,1,1,0,58,0,0,0,2,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,2,15899,18720,18122,18530,19089,18856,3400,0,1000,1001,634,638,0
365,230000,0,1,0,0,0,1,35,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,761,300,399,665,576,613,300,399,665,576,613,520,0
373,90000,0,1,0,0,0,1,34,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,34302,35089,43449,42451,49718,48767,1640,9000,0,8000,0,2000,0
376,30000,1,0,0,1,1,0,58,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,19143,20168,21229,21495,21800,22437,1640,1700,915,800,1000,1961,0
383,140000,1,0,0,1,1,0,36,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,100594,78372,91502,90859,88616,88450,3000,30000,4000,4000,3400,3300,0
386,410000,0,0,0,0,1,0,42,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,338106,342904,344464,240865,234939,240176,15000,14000,9000,8500,9000,8300,0
393,310000,1,0,1,0,1,0,44,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,103797,91989,87720,76218,72090,71620,4400,4013,3011,3000,3001,2653,0
395,360000,1,1,0,0,1,0,51,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,38000,25000,0,0,0,0,25000,0,0,0,0,0,0
399,210000,0,0,1,0,1,0,30,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,104701,106134,108423,91143,82733,74125,4002,5000,3500,3000,2700,5000,0
400,120000,0,0,1,0,0,1,25,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,120298,120822,109887,116313,119311,117167,4007,0,8272,5000,0,4400,0
402,60000,0,0,0,1,0,0,42,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,41322,29091,28097,28665,28768,29064,1488,1394,962,1500,2541,2000,0
414,230000,0,0,1,0,0,1,27,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,13668,12647,13135,10596,9218,5068,0,1064,423,313,1000,4641,1
415,480000,0,0,0,1,1,0,41,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,14867,26665,199960,9033,19371,22593,26734,199982,9033,19371,22593,2000,0
418,50000,0,1,0,0,0,1,30,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,14811,16262,17286,17895,19450,18990,2000,1600,1200,2000,0,1000,0
425,490000,0,0,1,0,1,0,30,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,192586,197967,201666,205798,196698,190306,10000,7143,7306,6303,6429,6000,0
426,80000,0,0,1,0,1,0,32,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,11262,0,0,0,0,0,0,0,0,0,0,0,0
